,NeighbourValue,RelativesValue,TipState,tip
1251,-3.1510769500065527,-5.083193627071452,-5.6056645348646725,'Papantla Totonac [papa1238][top]-l-':1
1252,-3.0038612111436964,-5.679407320181586,-3.220809762424141,'Yecuatla Totonac [yecu1235][tlc]-l-':1
1253,-1.8400582289956224,,-2.305328144138982,'Northern Haida [nort2938][hdn]-l-':1
1254,-0.6682031522114565,,-1.281439346774564,'Wardaman [ward1246][wrr]-l-':1
1255,0.9637630696916009,,0.5678339866564712,'Taiap [taia1239][gpn]-l-':1;
1256,0.06252236474886587,-0.7485524143607828,-0.1635712498857527,'Inga [inga1252][inb]-l-':1
1257,-1.6055242432876835,-0.086050367679869,-1.4885753432475803,'Cusco Quechua [cusc1236][quz]-l-':1
1258,-1.7133846762253122,-0.8260732965666665,-0.008529485473985306,'Ayacucho Quechua [ayac1239][quy]-l-':1
1259,0.5257167125203822,-4.208737356913213,-2.0130062003241718,'Ik [ikkk1242][ikx]-l-':1
1260,0.28129680407122903,-2.0130062003241718,-4.208737356913213,'Soo [sooo1256][teu]-l-':1
1261,-0.4638947178020391,,1.798823496353384,'Laragia [lara1258][lrg]-l-':1;
1262,-2.9317595134608676,-3.0459400724281678,-4.425617828209734,'Lillooet [lill1248][lil]-l-':1
1263,-1.6050107375373943,-4.007644459644931,-1.5405046665594442,'Bella Coola [bell1243][blc]-l-':1
1264,-3.2766811377767366,-3.0368593493438,-4.452859997462838,'Upper Chehalis [uppe1439][cjh]-l-':1
1265,-2.848313297841919,-3.4729941640773383,-3.1444555532622216,'Twana [twan1247][twa]-l-':1
1266,-0.6875317788444024,,1.9680283536973249,'Kol {Papua New Guinea} [kolp1236][kol]-l-':1;
1267,1.5017380443367834,1.7355855134090767,1.5017380443367834,'Brahui [brah1256][brh]-l-':1
1268,-0.21530040925734778,1.4869607910338984,2.247612211462319,'Dandami Maria [dand1238][daq]-l-':1
1269,-0.3846847106645276,1.6704336726575324,1.6971935665914166,'Kurukh [kuru1302][kru]-l-':1
1270,1.261950762173495,1.8155146074635065,1.261950762173495,'Toda [toda1252][tcx]-l-':1
1271,-0.8052295024839393,,-0.8052295024839393,'Basque [basq1248][eus]-l-':1;
1272,-0.02178939465025953,,-1.3719877170281471,'Kariri [kari1254]':1;
1273,1.0993212498150224,-1.0707229396533329,-1.2620906643547671,'Nama {Papua New Guinea} [nama1266][nmx]-l-':1
